timestamp,energy_consumption
2024-01-01 00:00:00,76.72
2024-01-01 01:00:00,72.65
2024-01-01 02:00:00,71.81
2024-01-01 03:00:00,66.78
2024-01-01 04:00:00,68.2
2024-01-01 05:00:00,69.55
2024-01-01 06:00:00,76.21
2024-01-01 07:00:00,82.37
2024-01-01 08:00:00,79.56
2024-01-01 09:00:00,83.54
2024-01-01 10:00:00,101.38
2024-01-01 11:00:00,104.4
2024-01-01 12:00:00,94.91
2024-01-01 13:00:00,88.22
2024-01-01 14:00:00,90.86
2024-01-01 15:00:00,88.28
2024-01-01 16:00:00,86.34
2024-01-01 17:00:00,77.26
2024-01-01 18:00:00,71.67
2024-01-01 19:00:00,69.42
2024-01-01 20:00:00,74.15
2024-01-01 21:00:00,74.42
2024-01-01 22:00:00,72.59
2024-01-01 23:00:00,84.72
2024-01-02 00:00:00,82.19
2024-01-02 01:00:00,77.08
2024-01-02 02:00:00,66.05
2024-01-02 03:00:00,71.07
2024-01-02 04:00:00,69.77
2024-01-02 05:00:00,70.81
2024-01-02 06:00:00,78.22
2024-01-02 07:00:00,81.8
2024-01-02 08:00:00,89.12
2024-01-02 09:00:00,95.2
2024-01-02 10:00:00,98.85
2024-01-02 11:00:00,92.63
2024-01-02 12:00:00,99.44
2024-01-02 13:00:00,93.55
2024-01-02 14:00:00,85.46
2024-01-02 15:00:00,91.41
2024-01-02 16:00:00,86.19
2024-01-02 17:00:00,80.75
2024-01-02 18:00:00,74.3
2024-01-02 19:00:00,78.51
2024-01-02 20:00:00,74.27
2024-01-02 21:00:00,76.55
2024-01-02 22:00:00,72.39
2024-01-02 23:00:00,78.23
2024-01-03 00:00:00,75.41
2024-01-03 01:00:00,67.44
2024-01-03 02:00:00,69.65
2024-01-03 03:00:00,67.45
2024-01-03 04:00:00,74.52
2024-01-03 05:00:00,72.74
2024-01-03 06:00:00,73.39
2024-01-03 07:00:00,80.38
2024-01-03 08:00:00,86.46
2024-01-03 09:00:00,91.96
2024-01-03 10:00:00,93.28
2024-01-03 11:00:00,99.28
2024-01-03 12:00:00,96.24
2024-01-03 13:00:00,90.89
2024-01-03 14:00:00,92.75
2024-01-03 15:00:00,86.37
2024-01-03 16:00:00,72.24
2024-01-03 17:00:00,74.94
2024-01-03 18:00:00,77.38
2024-01-03 19:00:00,77.47
2024-01-03 20:00:00,78.44
2024-01-03 21:00:00,76.02
2024-01-03 22:00:00,73.51
2024-01-03 23:00:00,72.43
2024-01-04 00:00:00,76.67
2024-01-04 01:00:00,74.29
2024-01-04 02:00:00,75.13
2024-01-04 03:00:00,72.29
2024-01-04 04:00:00,66.92
2024-01-04 05:00:00,64.3
2024-01-04 06:00:00,72.19
2024-01-04 07:00:00,80.37
2024-01-04 08:00:00,85.59
2024-01-04 09:00:00,90.58
2024-01-04 10:00:00,98.74
2024-01-04 11:00:00,97.99
2024-01-04 12:00:00,96.84
2024-01-04 13:00:00,97.26
2024-01-04 14:00:00,89.21
2024-01-04 15:00:00,85.9
2024-01-04 16:00:00,80.6
2024-01-04 17:00:00,70.99
2024-01-04 18:00:00,71.6
2024-01-04 19:00:00,79.1
2024-01-04 20:00:00,69.81
2024-01-04 21:00:00,67.51
2024-01-04 22:00:00,69.56
2024-01-04 23:00:00,77.0
2024-01-05 00:00:00,75.53
2024-01-05 01:00:00,72.42
2024-01-05 02:00:00,74.95
2024-01-05 03:00:00,57.32
2024-01-05 04:00:00,69.16
2024-01-05 05:00:00,75.64
2024-01-05 06:00:00,69.07
2024-01-05 07:00:00,78.1
2024-01-05 08:00:00,83.51
2024-01-05 09:00:00,89.43
2024-01-05 10:00:00,96.55
2024-01-05 11:00:00,105.84
2024-01-05 12:00:00,106.82
2024-01-05 13:00:00,94.79
2024-01-05 14:00:00,98.56
2024-01-05 15:00:00,85.18
2024-01-05 16:00:00,86.65
2024-01-05 17:00:00,75.3
2024-01-05 18:00:00,74.17
2024-01-05 19:00:00,74.93
2024-01-05 20:00:00,87.3
2024-01-05 21:00:00,79.5
2024-01-05 22:00:00,74.3
2024-01-05 23:00:00,80.88
2024-01-06 00:00:00,64.08
2024-01-06 01:00:00,61.05
2024-01-06 02:00:00,63.85
2024-01-06 03:00:00,58.25
2024-01-06 04:00:00,58.81
2024-01-06 05:00:00,59.58
2024-01-06 06:00:00,65.05
2024-01-06 07:00:00,71.44
2024-01-06 08:00:00,68.89
2024-01-06 09:00:00,85.8
2024-01-06 10:00:00,84.04
2024-01-06 11:00:00,84.48
2024-01-06 12:00:00,89.35
2024-01-06 13:00:00,86.59
2024-01-06 14:00:00,78.29
2024-01-06 15:00:00,78.48
2024-01-06 16:00:00,64.38
2024-01-06 17:00:00,64.16
2024-01-06 18:00:00,61.42
2024-01-06 19:00:00,63.4
2024-01-06 20:00:00,65.82
2024-01-06 21:00:00,62.19
2024-01-06 22:00:00,70.14
2024-01-06 23:00:00,67.38
2024-01-07 00:00:00,58.08
2024-01-07 01:00:00,55.3
2024-01-07 02:00:00,60.29
2024-01-07 03:00:00,57.37
2024-01-07 04:00:00,57.4
2024-01-07 05:00:00,59.53
2024-01-07 06:00:00,64.72
2024-01-07 07:00:00,73.65
2024-01-07 08:00:00,72.32
2024-01-07 09:00:00,78.56
2024-01-07 10:00:00,83.72
2024-01-07 11:00:00,91.52
2024-01-07 12:00:00,94.69
2024-01-07 13:00:00,84.65
2024-01-07 14:00:00,71.18
2024-01-07 15:00:00,68.46
2024-01-07 16:00:00,66.54
2024-01-07 17:00:00,63.68
2024-01-07 18:00:00,62.25
2024-01-07 19:00:00,63.86
2024-01-07 20:00:00,63.57
2024-01-07 21:00:00,70.54
2024-01-07 22:00:00,64.66
2024-01-07 23:00:00,63.79
2024-01-08 00:00:00,77.68
2024-01-08 01:00:00,67.11
2024-01-08 02:00:00,72.02
2024-01-08 03:00:00,68.78
2024-01-08 04:00:00,67.34
2024-01-08 05:00:00,76.11
2024-01-08 06:00:00,71.45
2024-01-08 07:00:00,88.22
2024-01-08 08:00:00,85.98
2024-01-08 09:00:00,88.26
2024-01-08 10:00:00,98.49
2024-01-08 11:00:00,96.18
2024-01-08 12:00:00,96.82
2024-01-08 13:00:00,98.08
2024-01-08 14:00:00,93.52
2024-01-08 15:00:00,82.91
2024-01-08 16:00:00,83.94
2024-01-08 17:00:00,80.66
2024-01-08 18:00:00,79.75
2024-01-08 19:00:00,75.95
2024-01-08 20:00:00,80.39
2024-01-08 21:00:00,68.94
